"occupation_id","title","role_transformation_type","function_anchor_count","primary_driver","secondary_driver","primary_counterweight","evidence_profile","confidence_band","review_priority","explanation_summary"
"occ_11_1021_00","General and Operations Managers","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 20% | reviewed 0% | benchmark 60% | proxy 21%","medium","low","General and Operations Managers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: orchestration (75%); people_resource_leadership (25%). Evidence mix: direct 20% | reviewed 0% | benchmark 60% | proxy 21%."
"occ_13_1041_00","Compliance Officers","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 29% | reviewed 0% | benchmark 56% | proxy 15%","medium","low","Compliance Officers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: control_assurance (76%); control_enablement (24%). Evidence mix: direct 29% | reviewed 0% | benchmark 56% | proxy 15%."
"occ_13_1071_00","Human Resources Specialists","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 42% | reviewed 0% | benchmark 46% | proxy 13%","medium","low","Human Resources Specialists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: people_operations (95%). Evidence mix: direct 42% | reviewed 0% | benchmark 46% | proxy 13%."
"occ_13_1081_00","Logisticians","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 31% | reviewed 0% | benchmark 54% | proxy 16%","medium","low","Logisticians currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: reliable_execution (95%). Evidence mix: direct 31% | reviewed 0% | benchmark 54% | proxy 16%."
"occ_13_1082_00","Project Management Specialists","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 14% | reviewed 0% | benchmark 65% | proxy 21%","medium","low","Project Management Specialists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: orchestration (74%); stakeholder_alignment (26%). Evidence mix: direct 14% | reviewed 0% | benchmark 65% | proxy 21%."
"occ_13_1111_00","Management Analysts","limited_near_term_change","1","workflow compressibility","headcount displacement risk","bargaining leverage","direct 32% | reviewed 0% | benchmark 42% | proxy 26%","medium","low","Management Analysts currently reads as limited near-term change because workflow compressibility and headcount displacement risk are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: problem_solving (95%). Evidence mix: direct 32% | reviewed 0% | benchmark 42% | proxy 26%."
"occ_13_1151_00","Training and Development Specialists","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 26% | reviewed 0% | benchmark 54% | proxy 20%","medium","low","Training and Development Specialists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: people_operations (95%). Evidence mix: direct 26% | reviewed 0% | benchmark 54% | proxy 20%."
"occ_13_1161_00","Market Research Analysts and Marketing Specialists","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 41% | reviewed 0% | benchmark 43% | proxy 17%","medium","low","Market Research Analysts and Marketing Specialists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: market_sensing (95%). Evidence mix: direct 41% | reviewed 0% | benchmark 43% | proxy 17%."
"occ_13_1199_00","Business Operations Specialists, All Other","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 0% | reviewed 83% | benchmark 0% | proxy 17%","medium","low","Business Operations Specialists, All Other currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: problem_solving (95%). Evidence mix: direct 0% | reviewed 83% | benchmark 0% | proxy 17%."
"occ_13_2011_00","Accountants and Auditors","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 23% | reviewed 0% | benchmark 59% | proxy 18%","medium","low","Accountants and Auditors currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: financial_integrity (95%). Evidence mix: direct 23% | reviewed 0% | benchmark 59% | proxy 18%."
"occ_13_2051_00","Financial and Investment Analysts","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 38% | reviewed 0% | benchmark 48% | proxy 14%","medium","low","Financial and Investment Analysts currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: financial_integrity (95%). Evidence mix: direct 38% | reviewed 0% | benchmark 48% | proxy 14%."
"occ_15_1211_00","Computer Systems Analysts","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 38% | reviewed 0% | benchmark 46% | proxy 17%","medium","low","Computer Systems Analysts currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: software_delivery (95%). Evidence mix: direct 38% | reviewed 0% | benchmark 46% | proxy 17%."
"occ_15_1252_00","Software Developers","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 23% | reviewed 0% | benchmark 56% | proxy 21%","medium","low","Software Developers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: software_delivery (76%); system_reliability (24%). Evidence mix: direct 23% | reviewed 0% | benchmark 56% | proxy 21%."
"occ_15_1254_00","Web Developers","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 36% | reviewed 0% | benchmark 48% | proxy 16%","high","low","Web Developers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: software_delivery (95%). Evidence mix: direct 36% | reviewed 0% | benchmark 48% | proxy 16%."
"occ_15_2031_00","Operations Research Analysts","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 45% | proxy 20%","medium","low","Operations Research Analysts currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: decision_intelligence (95%). Evidence mix: direct 35% | reviewed 0% | benchmark 45% | proxy 20%."
"occ_15_2051_00","Data Scientists","augmented_core_role","2","direct task pressure","core-function pressure","demand expansion","direct 0% | reviewed 15% | benchmark 65% | proxy 20%","high","low","Data Scientists currently reads as augmented core role because direct task pressure and core-function pressure are the strongest pressure signals, while demand expansion is the main counterweight. Function mix: decision_intelligence (75%); stakeholder_translation (25%). Evidence mix: direct 0% | reviewed 15% | benchmark 65% | proxy 20%."
"occ_17_2072_00","Electronics Engineers, Except Computer","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 29% | reviewed 0% | benchmark 52% | proxy 18%","medium","low","Electronics Engineers, Except Computer currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: system_design (95%). Evidence mix: direct 29% | reviewed 0% | benchmark 52% | proxy 18%."
"occ_17_2141_00","Mechanical Engineers","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 16% | reviewed 0% | benchmark 66% | proxy 17%","medium","low","Mechanical Engineers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: system_design (95%). Evidence mix: direct 16% | reviewed 0% | benchmark 66% | proxy 17%."
"occ_23_1011_00","Lawyers","limited_near_term_change","2","workflow compressibility","headcount displacement risk","bargaining leverage","direct 26% | reviewed 0% | benchmark 56% | proxy 19%","medium","low","Lawyers currently reads as limited near-term change because workflow compressibility and headcount displacement risk are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: advice_advocacy (72%); matter_preparation (28%). Evidence mix: direct 26% | reviewed 0% | benchmark 56% | proxy 19%."
"occ_23_2011_00","Paralegals and Legal Assistants","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 13% | reviewed 21% | benchmark 50% | proxy 16%","medium","low","Paralegals and Legal Assistants currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: legal_support (75%); matter_coordination (25%). Evidence mix: direct 13% | reviewed 21% | benchmark 50% | proxy 16%."
"occ_27_1024_00","Graphic Designers","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 41% | reviewed 0% | benchmark 39% | proxy 21%","medium","low","Graphic Designers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: creative_production (95%). Evidence mix: direct 41% | reviewed 0% | benchmark 39% | proxy 21%."
"occ_27_3023_00","News Analysts, Reporters, and Journalists","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 50% | proxy 16%","high","low","News Analysts, Reporters, and Journalists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: public_information (75%); source_development (25%). Evidence mix: direct 34% | reviewed 0% | benchmark 50% | proxy 16%."
"occ_27_3031_00","Public Relations Specialists","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 40% | reviewed 0% | benchmark 43% | proxy 17%","high","low","Public Relations Specialists currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: stakeholder_messaging (72%); relationship_protection (28%). Evidence mix: direct 40% | reviewed 0% | benchmark 43% | proxy 17%."
"occ_27_3041_00","Editors","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 48% | proxy 18%","high","low","Editors currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: editorial_judgment (74%); publication_orchestration (26%). Evidence mix: direct 35% | reviewed 0% | benchmark 48% | proxy 18%."
"occ_27_3042_00","Technical Writers","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 32% | reviewed 0% | benchmark 44% | proxy 24%","medium","low","Technical Writers currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: information_translation (75%); release_enablement (25%). Evidence mix: direct 32% | reviewed 0% | benchmark 44% | proxy 24%."
"occ_27_3043_00","Writers and Authors","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 48% | proxy 18%","medium","low","Writers and Authors currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: creative_production (95%). Evidence mix: direct 34% | reviewed 0% | benchmark 48% | proxy 18%."
"occ_41_3011_00","Advertising Sales Agents","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 40% | reviewed 0% | benchmark 44% | proxy 17%","medium","low","Advertising Sales Agents currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: revenue_creation (95%). Evidence mix: direct 40% | reviewed 0% | benchmark 44% | proxy 17%."
"occ_41_3091_00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","workflow_recomposition","2","direct task pressure","headcount displacement risk","human accountability","direct 10% | reviewed 23% | benchmark 51% | proxy 16%","high","low","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: revenue_creation (72%); account_stewardship (28%). Evidence mix: direct 10% | reviewed 23% | benchmark 51% | proxy 16%."
"occ_43_3031_00","Bookkeeping, Accounting, and Auditing Clerks","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 50% | proxy 14%","medium","low","Bookkeeping, Accounting, and Auditing Clerks currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: financial_integrity (95%). Evidence mix: direct 35% | reviewed 0% | benchmark 50% | proxy 14%."
"occ_43_4051_00","Customer Service Representatives","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 36% | reviewed 0% | benchmark 42% | proxy 22%","high","low","Customer Service Representatives currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: service_resolution (95%). Evidence mix: direct 36% | reviewed 0% | benchmark 42% | proxy 22%."
"occ_43_6011_00","Executive Secretaries and Executive Administrative Assistants","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 32% | reviewed 0% | benchmark 51% | proxy 16%","medium","low","Executive Secretaries and Executive Administrative Assistants currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: workflow_execution (95%). Evidence mix: direct 32% | reviewed 0% | benchmark 51% | proxy 16%."
"occ_43_6014_00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 50% | proxy 17%","medium","low","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: workflow_execution (95%). Evidence mix: direct 34% | reviewed 0% | benchmark 50% | proxy 17%."
"occ_43_9061_00","Office Clerks, General","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 34% | reviewed 0% | benchmark 48% | proxy 18%","medium","low","Office Clerks, General currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: workflow_execution (95%). Evidence mix: direct 34% | reviewed 0% | benchmark 48% | proxy 18%."
"occ_43_9111_00","Statistical Assistants","workflow_recomposition","1","direct task pressure","headcount displacement risk","human accountability","direct 35% | reviewed 0% | benchmark 44% | proxy 21%","medium","low","Statistical Assistants currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while human accountability is the main counterweight. Function mix: decision_intelligence (95%). Evidence mix: direct 35% | reviewed 0% | benchmark 44% | proxy 21%."
